Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RLoad))	mag(I(RSource))
2.61836384599880e+06	1.35958420678760e-02,0.00000000000000e+00	3.80129736310724e-05,0.00000000000000e+00	3.80129736310722e-05,0.00000000000000e+00	1.35958420678749e-02,0.00000000000000e+00
2.62439979803839e+06	1.36255214173405e-02,0.00000000000000e+00	3.82671303027849e-05,0.00000000000000e+00	3.82671303027839e-05,0.00000000000000e+00	1.36255214173398e-02,0.00000000000000e+00
2.63044966438446e+06	1.36552353796116e-02,0.00000000000000e+00	3.85228160418467e-05,0.00000000000000e+00	3.85228160418472e-05,0.00000000000000e+00	1.36552353796106e-02,0.00000000000000e+00
2.63651347711280e+06	1.36849835675889e-02,0.00000000000000e+00	3.87800369213180e-05,0.00000000000000e+00	3.87800369213182e-05,0.00000000000000e+00	1.36849835675887e-02,0.00000000000000e+00
2.64259126837313e+06	1.37147655880947e-02,0.00000000000000e+00	3.90387989807141e-05,0.00000000000000e+00	3.90387989807128e-05,0.00000000000000e+00	1.37147655880973e-02,0.00000000000000e+00
2.64868307038931e+06	1.37445810418309e-02,0.00000000000000e+00	3.92991082244590e-05,0.00000000000000e+00	3.92991082244599e-05,0.00000000000000e+00	1.37445810418311e-02,0.00000000000000e+00
2.65478891545946e+06	1.37744295232668e-02,0.00000000000000e+00	3.95609706208786e-05,0.00000000000000e+00	3.95609706208788e-05,0.00000000000000e+00	1.37744295232663e-02,0.00000000000000e+00
2.66090883595616e+06	1.38043106206561e-02,0.00000000000000e+00	3.98243921005598e-05,0.00000000000000e+00	3.98243921005598e-05,0.00000000000000e+00	1.38043106206583e-02,0.00000000000000e+00
2.66704286432663e+06	1.38342239159479e-02,0.00000000000000e+00	4.00893785551815e-05,0.00000000000000e+00	4.00893785551810e-05,0.00000000000000e+00	1.38342239159442e-02,0.00000000000000e+00
2.67319103309287e+06	1.38641689846927e-02,0.00000000000000e+00	4.03559358360158e-05,0.00000000000000e+00	4.03559358360161e-05,0.00000000000000e+00	1.38641689846945e-02,0.00000000000000e+00
2.67935337485185e+06	1.38941453960927e-02,0.00000000000000e+00	4.06240697526245e-05,0.00000000000000e+00	4.06240697526248e-05,0.00000000000000e+00	1.38941453960947e-02,0.00000000000000e+00
2.68552992227571e+06	1.39241527128225e-02,0.00000000000000e+00	4.08937860713730e-05,0.00000000000000e+00	4.08937860713728e-05,0.00000000000000e+00	1.39241527128202e-02,0.00000000000000e+00
2.69172070811188e+06	1.39541904910460e-02,0.00000000000000e+00	4.11650905139298e-05,0.00000000000000e+00	4.11650905139291e-05,0.00000000000000e+00	1.39541904910463e-02,0.00000000000000e+00
2.69792576518329e+06	1.39842582803702e-02,0.00000000000000e+00	4.14379887560285e-05,0.00000000000000e+00	4.14379887560285e-05,0.00000000000000e+00	1.39842582803686e-02,0.00000000000000e+00
2.70414512638854e+06	1.40143556237390e-02,0.00000000000000e+00	4.17124864257096e-05,0.00000000000000e+00	4.17124864257096e-05,0.00000000000000e+00	1.40143556237393e-02,0.00000000000000e+00
2.71037882470205e+06	1.40444820574198e-02,0.00000000000000e+00	4.19885891019253e-05,0.00000000000000e+00	4.19885891019253e-05,0.00000000000000e+00	1.40444820574211e-02,0.00000000000000e+00
2.71662689317429e+06	1.40746371109166e-02,0.00000000000000e+00	4.22663023130681e-05,0.00000000000000e+00	4.22663023130683e-05,0.00000000000000e+00	1.40746371109180e-02,0.00000000000000e+00
2.72288936493188e+06	1.41048203069504e-02,0.00000000000000e+00	4.25456315353843e-05,0.00000000000000e+00	4.25456315353843e-05,0.00000000000000e+00	1.41048203069475e-02,0.00000000000000e+00
2.72916627317783e+06	1.41350311613618e-02,0.00000000000000e+00	4.28265821913484e-05,0.00000000000000e+00	4.28265821913484e-05,0.00000000000000e+00	1.41350311613610e-02,0.00000000000000e+00
2.73545765119168e+06	1.41652691831048e-02,0.00000000000000e+00	4.31091596482126e-05,0.00000000000000e+00	4.31091596482126e-05,0.00000000000000e+00	1.41652691831039e-02,0.00000000000000e+00
2.74176353232969e+06	1.41955338741446e-02,0.00000000000000e+00	4.33933692162090e-05,0.00000000000000e+00	4.33933692162091e-05,0.00000000000000e+00	1.41955338741438e-02,0.00000000000000e+00
